pid,feature,standard_measures,result_measures,intersection,IoU,Precision,Recall,F1,Coverage
56,8.0,[],"[41.0, 42.0, 43.0, 44.0, 45.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0]",[],0.0,0.0,0.0,0.0,0.0
56,9.0,[],"[41.0, 42.0, 43.0, 44.0, 45.0, 56.0, 57.0, 58.0, 59.0, 60.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
56,10.0,[],"[66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
56,11.0,[],"[36.0, 37.0, 38.0, 39.0, 40.0, 66.0, 67.0, 68.0, 69.0, 70.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
56,13.0,[],"[1.0, 2.0, 3.0, 4.0, 5.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]",[],0.0,0.0,0.0,0.0,0.0
56,15.0,[],"[6.0, 7.0, 8.0, 9.0, 10.0, 16.0, 17.0, 18.0, 19.0, 20.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]",[],0.0,0.0,0.0,0.0,0.0
56,16.0,[],"[41.0, 42.0, 43.0, 44.0, 45.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0]",[],0.0,0.0,0.0,0.0,0.0
56,17.0,[],"[71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
56,18.0,[],"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]",[],0.0,0.0,0.0,0.0,0.0
58,1.0,[],"[26.0, 27.0, 28.0, 29.0, 30.0, 41.0, 42.0, 43.0, 44.0, 45.0, 51.0, 52.0, 53.0, 54.0, 55.0]",[],0.0,0.0,0.0,0.0,0.0
58,3.0,"[65, 66]",[],[],0.0,0.0,0.0,0.0,0.0
