measure,feature,feature_value,critical_score
20.0,14.0,-0.3333333333333333,1.0
20.0,15.0,,2.0
20.0,16.0,,2.0
20.0,17.0,,2.0
20.0,18.0,0.3333333333333333,3.0
20.0,19.0,1.0,2.0
21.0,1.0,-0.6,5.0
21.0,7.0,0.16666666666666666,4.0
21.0,8.0,,1.0
21.0,11.0,0.5,3.0
21.0,13.0,0.3333333333333333,1.0
21.0,14.0,-0.3333333333333333,1.0
21.0,18.0,0.3333333333333333,1.0
21.0,19.0,1.0,1.0
22.0,1.0,-0.6,5.0
22.0,2.0,-0.3333333333333333,1.0
22.0,7.0,0.16666666666666666,4.0
22.0,8.0,,2.0
22.0,11.0,0.5,4.0
22.0,13.0,0.3333333333333333,1.0
22.0,14.0,-0.3333333333333333,1.0
22.0,18.0,0.3333333333333333,1.0
22.0,19.0,1.0,1.0
23.0,1.0,-0.6,5.0
23.0,2.0,-0.3333333333333333,2.0
23.0,7.0,0.16666666666666666,4.0
23.0,8.0,,3.0
23.0,9.0,,1.0
23.0,11.0,0.5,5.0
23.0,13.0,0.3333333333333333,1.0
23.0,14.0,-0.3333333333333333,1.0
23.0,18.0,0.3333333333333333,1.0
23.0,19.0,1.0,1.0
24.0,1.0,-0.6,6.0
24.0,2.0,-0.3333333333333333,1.0
24.0,7.0,0.16666666666666666,5.0
24.0,8.0,,5.0
24.0,9.0,,2.0
24.0,11.0,0.5,7.0
24.0,12.0,,1.0
24.0,13.0,0.3333333333333333,1.0
24.0,14.0,-0.3333333333333333,2.0
24.0,15.0,,1.0
24.0,16.0,,1.0
24.0,17.0,,1.0
24.0,18.0,0.3333333333333333,2.0
24.0,19.0,1.0,1.0
25.0,1.0,-0.7083333333333333,11.0
25.0,6.0,-1.0,1.0
25.0,7.0,0.19047619047619047,10.0
25.0,8.0,,6.0
25.0,9.0,,4.0
25.0,11.0,0.3333333333333333,8.0
25.0,12.0,,3.0
25.0,13.0,0.3333333333333333,2.0
25.0,14.0,-0.3333333333333333,6.0
25.0,15.0,0.16666666666666666,5.0
25.0,16.0,,3.0
25.0,17.0,,3.0
25.0,18.0,0.3333333333333333,4.0
26.0,1.0,-0.6296296296296295,12.0
26.0,6.0,-1.0,1.0
26.0,7.0,0.19047619047619047,10.0
26.0,8.0,,5.0
26.0,9.0,,4.0
26.0,11.0,0.3333333333333333,9.0
26.0,12.0,,3.0
26.0,13.0,0.3333333333333333,2.0
26.0,14.0,-0.3333333333333333,6.0
26.0,15.0,0.16666666666666666,5.0
26.0,16.0,,3.0
26.0,17.0,,3.0
26.0,18.0,0.3333333333333333,5.0
27.0,1.0,-0.6296296296296295,12.0
27.0,6.0,-1.0,1.0
27.0,7.0,0.19047619047619047,10.0
27.0,8.0,,3.0
27.0,9.0,,3.0
27.0,11.0,0.3333333333333333,7.0
27.0,12.0,,3.0
27.0,13.0,0.3333333333333333,2.0
27.0,14.0,-0.3333333333333333,6.0
27.0,15.0,0.16666666666666666,5.0
27.0,16.0,,3.0
27.0,17.0,,3.0
27.0,18.0,0.3333333333333333,6.0
28.0,1.0,-0.5833333333333333,9.0
28.0,6.0,-1.0,1.0
28.0,7.0,0.19047619047619047,8.0
28.0,8.0,,1.0
28.0,9.0,,1.0
28.0,11.0,0.3333333333333333,4.0
28.0,12.0,,1.0
28.0,13.0,0.3333333333333333,2.0
28.0,14.0,-0.3333333333333333,4.0
28.0,15.0,0.16666666666666666,3.0
28.0,16.0,,1.0
28.0,17.0,,1.0
