measure,feature,critical_score,feature_value
26,9,1,0.3333333333333333
26,11,1,0.6666666666666666
26,13,1,1.0
26,15,1,1.0
26,18,1,1.0
26,19,1,1.0
26,6,1,1.0
27,1,1,0.6666666666666666
27,9,1,0.3333333333333333
27,11,1,0.6666666666666666
27,13,1,1.0
27,15,1,1.0
27,18,1,1.0
27,19,1,1.0
27,6,1,1.0
28,1,1,0.6666666666666666
28,9,1,0.3333333333333333
28,11,1,0.6666666666666666
28,13,1,1.0
28,15,1,1.0
28,18,1,1.0
28,19,1,1.0
28,6,1,1.0
29,1,1,0.6666666666666666
29,9,1,0.3333333333333333
29,11,1,0.6666666666666666
29,13,1,1.0
29,15,1,1.0
29,18,1,1.0
29,19,1,1.0
29,6,1,1.0
30,1,1,0.6666666666666666
30,9,1,0.3333333333333333
30,11,1,0.6666666666666666
30,13,1,1.0
30,15,1,1.0
30,18,1,1.0
30,19,1,1.0
30,6,1,1.0
31,1,1,0.6666666666666666
31,9,1,0.3333333333333333
31,11,1,0.6666666666666666
31,13,1,1.0
31,15,1,1.0
31,18,1,1.0
31,19,1,1.0
31,6,1,1.0
32,1,1,0.6666666666666666
32,9,1,0.3333333333333333
32,11,1,0.6666666666666666
32,13,1,1.0
32,15,1,1.0
32,18,1,1.0
32,19,1,1.0
32,6,1,1.0
33,1,1,0.6666666666666666
33,9,1,0.3333333333333333
33,11,1,0.6666666666666666
33,13,1,1.0
33,15,2,0.8333333333333333
33,18,1,1.0
33,19,2,1.0
33,6,1,1.0
34,1,1,0.6666666666666666
34,9,1,0.3333333333333333
34,11,1,0.6666666666666666
34,13,1,1.0
34,15,2,0.8333333333333333
34,18,1,1.0
34,19,2,1.0
34,6,1,1.0
35,1,1,0.6666666666666666
35,9,1,0.3333333333333333
35,11,2,0.6666666666666666
35,13,1,1.0
35,15,2,0.8333333333333333
35,18,1,1.0
35,19,3,1.0
35,6,2,1.0
36,1,1,0.6666666666666666
36,9,1,0.3333333333333333
36,11,2,0.6666666666666666
36,13,1,1.0
36,15,2,0.8333333333333333
36,18,1,1.0
36,19,3,1.0
36,6,2,1.0
37,4,3,0.0
37,5,1,0.3333333333333333
37,19,3,1.0
37,1,1,0.6666666666666666
37,9,1,0.3333333333333333
37,11,2,0.6666666666666666
37,13,1,1.0
37,15,1,1.0
37,18,1,1.0
37,6,1,1.0
37,7,2,0.0
38,4,3,0.0
38,5,1,0.3333333333333333
38,19,3,1.0
38,1,1,0.6666666666666666
38,9,1,0.3333333333333333
38,11,2,0.6666666666666666
38,13,1,1.0
38,15,1,1.0
38,18,1,1.0
38,6,1,1.0
38,7,2,0.0
39,4,3,0.0
39,5,1,0.3333333333333333
39,19,3,1.0
39,1,1,0.6666666666666666
39,9,1,0.3333333333333333
39,11,2,0.6666666666666666
39,13,1,1.0
39,15,1,1.0
39,18,1,1.0
39,6,1,1.0
39,7,2,0.0
40,4,3,0.0
