measure,feature,critical_score,feature_value
57,1,2,-0.16666666666666666
58,19,2,1.0
58,10,1,-0.3333333333333333
58,12,1,-0.6666666666666666
58,13,1,0.6666666666666666
58,14,3,-0.6666666666666666
58,18,1,0.6666666666666666
58,1,2,-0.16666666666666666
59,19,3,1.0
59,10,1,-0.3333333333333333
59,12,1,-0.6666666666666666
59,13,1,0.6666666666666666
59,14,3,-0.6666666666666666
59,18,1,0.6666666666666666
59,1,2,-0.16666666666666666
60,19,3,1.0
60,10,1,-0.3333333333333333
60,12,1,-0.6666666666666666
60,13,1,0.6666666666666666
60,14,3,-0.6666666666666666
60,18,1,0.6666666666666666
60,1,2,-0.16666666666666666
61,19,3,1.0
61,10,1,-0.3333333333333333
61,12,1,-0.6666666666666666
61,13,1,0.6666666666666666
61,14,3,-0.6666666666666666
61,18,1,0.6666666666666666
61,1,2,-0.16666666666666666
62,19,2,1.0
62,1,3,-0.2222222222222222
62,10,1,-0.3333333333333333
62,12,1,-0.6666666666666666
62,13,1,0.6666666666666666
62,14,3,-0.6666666666666666
62,18,1,0.6666666666666666
63,19,2,1.0
63,1,3,-0.2222222222222222
63,10,1,-0.3333333333333333
63,12,1,-0.6666666666666666
63,13,1,0.6666666666666666
63,14,3,-0.6666666666666666
63,18,1,0.6666666666666666
64,19,2,1.0
64,1,4,-0.08333333333333333
64,10,1,-0.3333333333333333
64,12,1,-0.6666666666666666
64,13,1,0.6666666666666666
64,14,3,-0.6666666666666666
64,18,1,0.6666666666666666
65,9,3,0.5555555555555555
65,11,2,0.5
65,13,2,0.8333333333333333
65,12,2,-0.5
65,19,1,1.0
65,14,2,-0.5
65,18,1,0.6666666666666666
65,15,2,0.8333333333333333
65,10,1,0.3333333333333333
65,1,2,-0.16666666666666666
65,7,2,0.3333333333333333
65,5,2,0.3333333333333333
66,9,3,0.5555555555555555
66,11,2,0.5
66,13,2,0.8333333333333333
66,12,2,-0.5
66,19,1,1.0
66,14,2,-0.5
66,18,1,0.6666666666666666
66,15,2,0.8333333333333333
66,10,1,0.3333333333333333
66,1,2,-0.16666666666666666
66,7,2,0.3333333333333333
66,5,2,0.3333333333333333
67,9,3,0.5555555555555555
67,11,2,0.5
67,13,2,0.8333333333333333
67,12,2,-0.5
67,19,1,1.0
67,14,2,-0.5
67,18,1,0.6666666666666666
67,15,2,0.8333333333333333
67,10,1,0.3333333333333333
67,1,2,-0.16666666666666666
67,7,2,0.3333333333333333
67,5,2,0.3333333333333333
68,9,3,0.5555555555555555
68,11,2,0.5
68,13,2,0.8333333333333333
68,12,2,-0.5
68,19,1,1.0
68,14,2,-0.5
68,18,1,0.6666666666666666
68,15,2,0.8333333333333333
68,10,1,0.3333333333333333
68,1,2,-0.16666666666666666
68,7,2,0.3333333333333333
68,5,2,0.3333333333333333
69,9,3,0.5555555555555555
69,11,2,0.5
69,13,2,0.8333333333333333
69,12,2,-0.5
69,19,1,1.0
69,14,2,-0.5
69,18,1,0.6666666666666666
69,15,2,0.8333333333333333
69,10,1,0.3333333333333333
69,1,2,-0.16666666666666666
69,7,2,0.3333333333333333
69,5,2,0.3333333333333333
70,11,2,0.5
70,13,2,0.8333333333333333
70,12,2,-0.5
70,19,1,1.0
70,14,2,-0.5
70,18,1,0.6666666666666666
70,15,2,0.8333333333333333
70,9,1,0.6666666666666666
70,10,1,0.3333333333333333
70,1,2,-0.16666666666666666
70,7,2,0.3333333333333333
70,5,2,0.3333333333333333
71,11,2,0.5
71,13,2,0.8333333333333333
71,12,2,-0.5
71,19,1,1.0
71,14,2,-0.5
71,18,1,0.6666666666666666
71,15,2,0.8333333333333333
71,9,1,0.6666666666666666
71,10,1,0.3333333333333333
71,1,2,-0.16666666666666666
71,7,2,0.3333333333333333
71,5,2,0.3333333333333333
72,11,2,0.5
72,13,2,0.8333333333333333
72,5,3,0.0
72,12,2,-0.5
72,19,1,1.0
72,14,2,-0.5
72,18,1,0.6666666666666666
72,15,2,0.8333333333333333
72,9,1,0.6666666666666666
72,10,1,0.3333333333333333
72,1,2,-0.16666666666666666
72,7,2,0.3333333333333333
73,19,2,1.0
73,1,2,0.0
73,11,1,0.3333333333333333
73,4,1,0.0
73,13,1,0.6666666666666666
74,19,2,1.0
74,1,2,0.0
74,11,1,0.3333333333333333
74,4,1,0.0
74,13,1,0.6666666666666666
75,19,2,1.0
75,1,2,0.0
75,11,1,0.3333333333333333
75,4,1,0.0
75,13,1,0.6666666666666666
76,19,2,1.0
76,1,2,0.0
76,11,1,0.3333333333333333
76,4,1,0.0
76,13,1,0.6666666666666666
77,19,2,1.0
77,1,2,0.0
77,11,1,0.3333333333333333
77,4,1,0.0
77,13,1,0.6666666666666666
78,19,2,1.0
78,1,2,0.0
78,11,1,0.3333333333333333
78,4,1,0.0
78,13,1,0.6666666666666666
79,19,2,1.0
79,1,2,0.0
79,14,1,-1.0
79,11,1,0.3333333333333333
79,4,1,0.0
79,13,1,0.6666666666666666
80,19,2,1.0
80,1,2,0.0
80,14,1,-1.0
80,11,1,0.3333333333333333
80,4,1,0.0
80,13,1,0.6666666666666666
81,4,5,0.0
81,5,4,-0.3333333333333333
81,19,2,0.8333333333333333
81,11,3,0.4444444444444444
81,1,3,0.0
81,7,7,0.38095238095238093
81,10,1,-0.3333333333333333
81,13,1,0.6666666666666666
82,4,5,0.0
82,5,4,-0.3333333333333333
82,19,2,0.8333333333333333
82,11,3,0.4444444444444444
82,1,3,0.0
82,7,7,0.38095238095238093
82,10,1,-0.3333333333333333
82,13,1,0.6666666666666666
83,4,5,0.0
83,5,4,-0.3333333333333333
83,19,2,0.8333333333333333
83,11,3,0.4444444444444444
83,1,3,0.0
83,7,7,0.38095238095238093
83,10,1,-0.3333333333333333
